candidate,district,precinct,party,votes,city,county,office
clinton,1,1,democ,195,arcadia,wayne,president
clinton,1,2,democ,249,arcadia,wayne,president
clinton,1,3,democ,208,arcadia,wayne,president
clinton,1,4,democ,159,arcadia,wayne,president
clinton,1,5,democ,178,arcadia,wayne,president
clinton,1,6,democ,292,arcadia,wayne,president
clinton,1,7,democ,181,arcadia,wayne,president
clinton,1,8,democ,147,arcadia,wayne,president
clinton,1,9,democ,166,arcadia,wayne,president
clinton,1,10,democ,229,arcadia,wayne,president
trump,1,1,repub,418,arcadia,wayne,president
trump,1,2,repub,371,arcadia,wayne,president
trump,1,3,repub,178,arcadia,wayne,president
trump,1,4,repub,167,arcadia,wayne,president
trump,1,5,repub,184,arcadia,wayne,president
trump,1,6,repub,297,arcadia,wayne,president
trump,1,7,repub,177,arcadia,wayne,president
trump,1,8,repub,151,arcadia,wayne,president
trump,1,9,repub,166,arcadia,wayne,president
trump,1,10,repub,332,arcadia,wayne,president
trump,1,1,conse,71,arcadia,wayne,president
trump,1,2,conse,39,arcadia,wayne,president
trump,1,3,conse,21,arcadia,wayne,president
trump,1,4,conse,19,arcadia,wayne,president
trump,1,5,conse,21,arcadia,wayne,president
trump,1,6,conse,39,arcadia,wayne,president
trump,1,7,conse,27,arcadia,wayne,president
trump,1,2,conse,12,arcadia,wayne,president
trump,1,9,conse,24,arcadia,wayne,president
trump,1,10,conse,45,arcadia,wayne,president
stein,1,1,green,9,arcadia,wayne,president
stein,1,1,green,7,arcadia,wayne,president
stein,1,3,green,11,arcadia,wayne,president
stein,1,4,green,7,arcadia,wayne,president
stein,1,5,green,2,arcadia,wayne,president
stein,1,6,green,12,arcadia,wayne,president
stein,1,7,green,7,arcadia,wayne,president
stein,4,1,green,7,arcadia,wayne,president
stein,1,9,green,10,arcadia,wayne,president
stein,1,10,green,5,arcadia,wayne,president
clinton,1,1,worki,9,arcadia,wayne,president
clinton,2,1,worki,8,arcadia,wayne,president
clinton,1,3,worki,3,arcadia,wayne,president
clinton,1,4,worki,7,arcadia,wayne,president
clinton,1,5,worki,7,arcadia,wayne,president
clinton,1,6,worki,12,arcadia,wayne,president
clinton,1,7,worki,3,arcadia,wayne,president
clinton,1,8,worki,5,arcadia,wayne,president
clinton,1,9,worki,6,arcadia,wayne,president
clinton,1,10,worki,8,arcadia,wayne,president
johnson,1,1,indep,38,arcadia,wayne,president
johnson,1,2,indep,36,arcadia,wayne,president
johnson,1,3,indep,21,arcadia,wayne,president
johnson,1,4,indep,14,arcadia,wayne,president
johnson,1,5,indep,13,arcadia,wayne,president
johnson,1,6,indep,23,arcadia,wayne,president
johnson,1,7,indep,21,arcadia,wayne,president
johnson,1,8,indep,9,arcadia,wayne,president
johnson,1,9,indep,18,arcadia,wayne,president
johnson,1,10,indep,23,arcadia,wayne,president
clinton,1,1,wome,1,arcadia,wayne,president
clinton,1,2,wome,0,arcadia,wayne,president
clinton,1,3,wome,8,arcadia,wayne,president
clinton,1,4,wome,0,arcadia,wayne,president
clinton,1,5,wome,1,arcadia,wayne,president
clinton,1,6,wome,0,arcadia,wayne,president
clinton,1,7,wome,4,arcadia,wayne,president
clinton,1,8,wome,2,arcadia,wayne,president
clinton,1,9,wome,2,arcadia,wayne,president
clinton,1,10,wome,5,arcadia,wayne,president
johnson,1,1,libert,9,arcadia,wayne,president
johnson,2,2,libert,6,arcadia,wayne,president
johnson,1,3,libert,4,arcadia,wayne,president
johnson,1,4,libert,2,arcadia,wayne,president
johnson,1,5,libert,8,arcadia,wayne,president
johnson,1,6,libert,7,arcadia,wayne,president
johnson,1,7,libert,5,arcadia,wayne,president
johnson,1,8,libert,0,arcadia,wayne,president
johnson,1,9,libert,4,arcadia,wayne,president
johnson,1,10,libert,3,arcadia,wayne,president
buchanan,1,1,no party,0,arcadia,wayne,president
buchanan,1,2,no party,0,arcadia,wayne,president
buchanan,1,3,no party,0,arcadia,wayne,president
buchanan,1,4,no party,0,arcadia,wayne,president
buchanan,1,5,no party,0,arcadia,wayne,president
buchanan,1,6,no party,0,arcadia,wayne,president
buchanan,1,7,no party,0,arcadia,wayne,president
buchanan,1,8,no party,0,arcadia,wayne,president
buchanan,1,9,no party,0,arcadia,wayne,president
buchanan,1,10,no party,0,arcadia,wayne,president
castle,1,1,no party,0,arcadia,wayne,president
castle,1,2,no party,0,arcadia,wayne,president
castle,1,3,no party,0,arcadia,wayne,president
castle,1,4,no party,0,arcadia,wayne,president
castle,1,5,no party,0,arcadia,wayne,president
castle,1,6,no party,0,arcadia,wayne,president
castle,1,7,no party,0,arcadia,wayne,president
castle,1,8,no party,0,arcadia,wayne,president
castle,1,9,no party,0,arcadia,wayne,president
castle,1,10,no party,0,arcadia,wayne,president
hoefling,1,1,no party,0,arcadia,wayne,president
hoefling,1,2,no party,0,arcadia,wayne,president
hoefling,1,3,no party,0,arcadia,wayne,president
hoefling,1,4,no party,0,arcadia,wayne,president
hoefling,1,5,no party,0,arcadia,wayne,president
hoefling,1,6,no party,0,arcadia,wayne,president
hoefling,1,7,no party,0,arcadia,wayne,president
hoefling,1,8,no party,0,arcadia,wayne,president
hoefling,1,9,no party,0,arcadia,wayne,president
hoefling,1,10,no party,0,arcadia,wayne,president
kahn,1,1,no party,0,arcadia,wayne,president
kahn,1,2,no party,0,arcadia,wayne,president
kahn,1,3,no party,0,arcadia,wayne,president
kahn,1,4,no party,0,arcadia,wayne,president
kahn,1,5,no party,0,arcadia,wayne,president
kahn,1,6,no party,0,arcadia,wayne,president
kahn,1,7,no party,0,arcadia,wayne,president
kahn,1,8,no party,0,arcadia,wayne,president
kahn,1,9,no party,0,arcadia,wayne,president
kahn,1,10,no party,0,arcadia,wayne,president
keniston,1,1,no party,0,arcadia,wayne,president
keniston,1,2,no party,2,arcadia,wayne,president
keniston,1,3,no party,0,arcadia,wayne,president
keniston,1,4,no party,0,arcadia,wayne,president
keniston,1,5,no party,0,arcadia,wayne,president
keniston,1,6,no party,0,arcadia,wayne,president
keniston,1,7,no party,0,arcadia,wayne,president
keniston,1,8,no party,0,arcadia,wayne,president
keniston,1,9,no party,0,arcadia,wayne,president
keniston,1,10,no party,0,arcadia,wayne,president
maturen,1,1,no party,0,arcadia,wayne,president
maturen,1,2,no party,0,arcadia,wayne,president
maturen,1,3,no party,0,arcadia,wayne,president
maturen,1,4,no party,0,arcadia,wayne,president
maturen,1,5,no party,0,arcadia,wayne,president
maturen,1,6,no party,0,arcadia,wayne,president
maturen,1,7,no party,0,arcadia,wayne,president
maturen,1,8,no party,0,arcadia,wayne,president
maturen,1,9,no party,0,arcadia,wayne,president
maturen,1,10,no party,0,arcadia,wayne,president
mcmullin,1,1,no party,0,arcadia,wayne,president
mcmullin,1,2,no party,0,arcadia,wayne,president
mcmullin,1,3,no party,2,arcadia,wayne,president
mcmullin,1,4,no party,0,arcadia,wayne,president
mcmullin,1,5,no party,0,arcadia,wayne,president
mcmullin,1,6,no party,1,arcadia,wayne,president
mcmullin,1,7,no party,3,arcadia,wayne,president
mcmullin,1,8,no party,0,arcadia,wayne,president
mcmullin,1,9,no party,0,arcadia,wayne,president
mcmullin,1,10,no party,0,arcadia,wayne,president
gyurko,1,1,no party,0,arcadia,wayne,president
gyurko,1,2,no party,0,arcadia,wayne,president
gyurko,1,3,no party,0,arcadia,wayne,president
gyurko,1,4,no party,0,arcadia,wayne,president
gyurko,1,5,no party,0,arcadia,wayne,president
gyurko,1,6,no party,0,arcadia,wayne,president
gyurko,1,7,no party,0,arcadia,wayne,president
gyurko,1,8,no party,0,arcadia,wayne,president
gyurko,1,9,no party,0,arcadia,wayne,president
gyurko,1,10,no party,0,arcadia,wayne,president
no party,1,1,no party,7,arcadia,wayne,president
no party,1,1,no party,2,arcadia,wayne,president
no party,1,3,no party,1,arcadia,wayne,president
no party,1,4,no party,1,arcadia,wayne,president
no party,1,5,no party,4,arcadia,wayne,president
no party,1,6,no party,2,arcadia,wayne,president
no party,1,7,no party,5,arcadia,wayne,president
no party,1,8,no party,0,arcadia,wayne,president
no party,1,9,no party,4,arcadia,wayne,president
no party,1,10,no party,2,arcadia,wayne,president
no party,1,1,no party,0,arcadia,wayne,president
no party,1,2,no party,0,arcadia,wayne,president
no party,1,3,no party,1,arcadia,wayne,president
no party,1,4,no party,0,arcadia,wayne,president
no party,1,5,no party,1,arcadia,wayne,president
no party,1,6,no party,1,arcadia,wayne,president
no party,1,7,no party,1,arcadia,wayne,president
no party,1,8,no party,0,arcadia,wayne,president
no party,1,9,no party,0,arcadia,wayne,president
no party,1,10,no party,0,arcadia,wayne,president
undervotes/blank,1,1,no party,7,arcadia,wayne,president
undervotes/blank,1,2,no party,3,arcadia,wayne,president
undervotes/blank,1,3,no party,1,arcadia,wayne,president
undervotes/blank,1,4,no party,1,arcadia,wayne,president
undervotes/blank,1,5,no party,4,arcadia,wayne,president
undervotes/blank,1,6,no party,5,arcadia,wayne,president
undervotes/blank,1,7,no party,3,arcadia,wayne,president
undervotes/blank,1,8,no party,1,arcadia,wayne,president
undervotes/blank,1,9,no party,3,arcadia,wayne,president
undervotes/blank,1,10,no party,6,arcadia,wayne,president
clinton,2,1,democ,141,butler,wayne,president
trump,2,1,repub,384,butler,wayne,president
trump,2,1,conse,60,butler,wayne,president
stein,2,1,green,7,butler,wayne,president
clinton,2,1,worki,6,butler,wayne,president
johnson,2,1,indep,20,butler,wayne,president
clinton,2,1,wome,1,butler,wayne,president
johnson,2,1,libert,8,butler,wayne,president
buchanan,2,1,no party,0,butler,wayne,president
castle,2,1,no party,0,butler,wayne,president
hoefling,2,1,no party,0,butler,wayne,president
kahn,2,1,no party,0,butler,wayne,president
keniston,2,1,no party,0,butler,wayne,president
maturen,2,1,no party,0,butler,wayne,president
mcmullin,2,1,no party,2,butler,wayne,president
gyurko,2,1,no party,0,butler,wayne,president
no party,2,1,no party,2,butler,wayne,president
no party,2,1,no party,5,butler,wayne,president
undervotes/blank,2,1,no party,3,butler,wayne,president
clinton,3,1,democ,120,galen,wayne,president
clinton,3,2,democ,103,galen,wayne,president
clinton,3,3,democ,153,galen,wayne,president
clinton,3,4,democ,144,galen,wayne,president
trump,3,1,repub,227,galen,wayne,president
trump,3,2,repub,213,galen,wayne,president
trump,3,3,repub,202,galen,wayne,president
trump,3,4,repub,174,galen,wayne,president
trump,3,1,conse,31,galen,wayne,president
trump,11,2,conse,26,galen,wayne,president
trump,11,3,conse,32,galen,wayne,president
trump,3,4,conse,16,galen,wayne,president
stein,3,1,green,8,galen,wayne,president
stein,1,1,green,7,galen,wayne,president
stein,3,3,green,3,galen,wayne,president
stein,2,1,green,6,galen,wayne,president
clinton,1,1,worki,5,galen,wayne,president
clinton,2,1,worki,6,galen,wayne,president
clinton,2,1,worki,6,galen,wayne,president
clinton,3,4,worki,5,galen,wayne,president
johnson,6,1,indep,11,galen,wayne,president
johnson,5,1,indep,13,galen,wayne,president
johnson,3,3,indep,2,galen,wayne,president
johnson,3,4,indep,10,galen,wayne,president
clinton,3,1,wome,3,galen,wayne,president
clinton,3,2,wome,1,galen,wayne,president
clinton,3,3,wome,0,galen,wayne,president
clinton,3,4,wome,1,galen,wayne,president
johnson,3,1,libert,3,galen,wayne,president
johnson,3,2,libert,3,galen,wayne,president
johnson,2,1,libert,6,galen,wayne,president
johnson,3,4,libert,1,galen,wayne,president
buchanan,3,1,no party,0,galen,wayne,president
buchanan,3,2,no party,0,galen,wayne,president
buchanan,3,3,no party,0,galen,wayne,president
buchanan,3,4,no party,0,galen,wayne,president
castle,3,1,no party,0,galen,wayne,president
castle,3,2,no party,0,galen,wayne,president
castle,3,3,no party,0,galen,wayne,president
castle,3,4,no party,0,galen,wayne,president
hoefling,3,1,no party,0,galen,wayne,president
hoefling,3,2,no party,0,galen,wayne,president
hoefling,3,3,no party,0,galen,wayne,president
hoefling,3,4,no party,0,galen,wayne,president
kahn,3,1,no party,0,galen,wayne,president
kahn,3,2,no party,0,galen,wayne,president
kahn,3,3,no party,0,galen,wayne,president
kahn,3,4,no party,0,galen,wayne,president
keniston,3,1,no party,0,galen,wayne,president
keniston,3,2,no party,0,galen,wayne,president
keniston,3,3,no party,0,galen,wayne,president
keniston,3,4,no party,0,galen,wayne,president
maturen,3,1,no party,0,galen,wayne,president
maturen,3,2,no party,0,galen,wayne,president
maturen,3,3,no party,0,galen,wayne,president
maturen,3,4,no party,0,galen,wayne,president
mcmullin,3,1,no party,1,galen,wayne,president
mcmullin,1,1,no party,3,galen,wayne,president
mcmullin,3,3,no party,0,galen,wayne,president
mcmullin,3,4,no party,2,galen,wayne,president
gyurko,3,1,no party,0,galen,wayne,president
gyurko,3,2,no party,0,galen,wayne,president
gyurko,3,3,no party,0,galen,wayne,president
gyurko,3,4,no party,0,galen,wayne,president
no party,2,1,no party,3,galen,wayne,president
no party,1,1,no party,2,galen,wayne,president
no party,1,1,no party,2,galen,wayne,president
no party,3,4,no party,2,galen,wayne,president
no party,3,1,no party,0,galen,wayne,president
no party,3,2,no party,0,galen,wayne,president
no party,3,3,no party,0,galen,wayne,president
no party,3,4,no party,0,galen,wayne,president
undervotes/blank,1,2,no party,3,galen,wayne,president
undervotes/blank,3,2,no party,3,galen,wayne,president
undervotes/blank,3,3,no party,11,galen,wayne,president
undervotes/blank,3,4,no party,3,galen,wayne,president
clinton,4,1,democ,132,huron,wayne,president
clinton,4,2,democ,159,huron,wayne,president
trump,4,1,repub,217,huron,wayne,president
trump,4,2,repub,276,huron,wayne,president
trump,4,1,conse,44,huron,wayne,president
trump,4,2,conse,42,huron,wayne,president
stein,4,1,green,8,huron,wayne,president
stein,4,2,green,5,huron,wayne,president
clinton,4,1,worki,3,huron,wayne,president
clinton,4,2,worki,3,huron,wayne,president
johnson,4,1,indep,19,huron,wayne,president
johnson,4,2,indep,21,huron,wayne,president
clinton,4,1,wome,1,huron,wayne,president
clinton,4,2,wome,1,huron,wayne,president
johnson,4,1,libert,5,huron,wayne,president
johnson,4,2,libert,2,huron,wayne,president
buchanan,4,1,no party,0,huron,wayne,president
buchanan,4,2,no party,0,huron,wayne,president
castle,4,1,no party,0,huron,wayne,president
castle,4,2,no party,0,huron,wayne,president
hoefling,4,1,no party,0,huron,wayne,president
hoefling,4,2,no party,0,huron,wayne,president
kahn,4,1,no party,0,huron,wayne,president
kahn,4,2,no party,0,huron,wayne,president
keniston,4,1,no party,0,huron,wayne,president
keniston,4,2,no party,0,huron,wayne,president
maturen,4,1,no party,0,huron,wayne,president
maturen,4,2,no party,0,huron,wayne,president
mcmullin,4,1,no party,0,huron,wayne,president
mcmullin,4,2,no party,2,huron,wayne,president
gyurko,4,1,no party,0,huron,wayne,president
gyurko,4,2,no party,0,huron,wayne,president
no party,4,1,no party,1,huron,wayne,president
no party,4,2,no party,1,huron,wayne,president
no party,4,1,no party,0,huron,wayne,president
no party,4,2,no party,0,huron,wayne,president
undervotes/blank,4,1,no party,2,huron,wayne,president
undervotes/blank,4,2,no party,3,huron,wayne,president
clinton,5,1,democ,141,lyons,wayne,president
clinton,5,2,no party,10,lyons,wayne,president
clinton,5,3,no party,19,lyons,wayne,president
clinton,5,4,no party,13,lyons,wayne,president
clinton,5,5,no party,9,lyons,wayne,president
trump,5,1,repub,225,lyons,wayne,president
trump,5,2,no party,13,lyons,wayne,president
trump,5,3,no party,8,lyons,wayne,president
trump,5,4,no party,14,lyons,wayne,president
trump,5,5,no party,17,lyons,wayne,president
trump,5,1,conse,31,lyons,wayne,president
trump,5,2,no party,2,lyons,wayne,president
trump,5,3,no party,1,lyons,wayne,president
trump,5,4,no party,0,lyons,wayne,president
trump,5,5,no party,4,lyons,wayne,president
stein,5,1,green,6,lyons,wayne,president
stein,5,2,no party,0,lyons,wayne,president
stein,5,3,no party,0,lyons,wayne,president
stein,5,4,no party,0,lyons,wayne,president
stein,5,5,no party,0,lyons,wayne,president
clinton,5,1,worki,5,lyons,wayne,president
clinton,5,2,no party,1,lyons,wayne,president
clinton,5,3,no party,2,lyons,wayne,president
clinton,5,4,no party,1,lyons,wayne,president
clinton,5,5,no party,0,lyons,wayne,president
johnson,5,1,indep,9,lyons,wayne,president
johnson,5,2,no party,1,lyons,wayne,president
johnson,5,3,no party,1,lyons,wayne,president
johnson,5,4,no party,2,lyons,wayne,president
johnson,5,5,no party,2,lyons,wayne,president
clinton,5,1,wome,4,lyons,wayne,president
clinton,5,2,no party,0,lyons,wayne,president
clinton,5,3,no party,0,lyons,wayne,president
clinton,5,4,no party,1,lyons,wayne,president
clinton,5,5,no party,1,lyons,wayne,president
johnson,5,1,libert,3,lyons,wayne,president
johnson,5,2,no party,0,lyons,wayne,president
johnson,5,3,no party,0,lyons,wayne,president
johnson,5,4,no party,1,lyons,wayne,president
johnson,5,5,no party,1,lyons,wayne,president
buchanan,5,1,no party,0,lyons,wayne,president
buchanan,5,2,no party,0,lyons,wayne,president
buchanan,5,3,no party,0,lyons,wayne,president
buchanan,5,4,no party,0,lyons,wayne,president
buchanan,5,5,no party,0,lyons,wayne,president
castle,5,1,no party,0,lyons,wayne,president
castle,5,2,no party,0,lyons,wayne,president
castle,5,3,no party,0,lyons,wayne,president
castle,5,4,no party,0,lyons,wayne,president
castle,5,5,no party,0,lyons,wayne,president
hoefling,5,1,no party,0,lyons,wayne,president
hoefling,5,2,no party,0,lyons,wayne,president
hoefling,5,3,no party,0,lyons,wayne,president
hoefling,5,4,no party,0,lyons,wayne,president
hoefling,5,5,no party,0,lyons,wayne,president
kahn,5,1,no party,0,lyons,wayne,president
kahn,5,2,no party,0,lyons,wayne,president
kahn,5,3,no party,0,lyons,wayne,president
kahn,5,4,no party,0,lyons,wayne,president
kahn,5,5,no party,0,lyons,wayne,president
keniston,5,1,no party,0,lyons,wayne,president
keniston,5,2,no party,0,lyons,wayne,president
keniston,5,3,no party,0,lyons,wayne,president
keniston,5,4,no party,0,lyons,wayne,president
keniston,5,5,no party,0,lyons,wayne,president
maturen,5,1,no party,0,lyons,wayne,president
maturen,5,2,no party,0,lyons,wayne,president
maturen,5,3,no party,0,lyons,wayne,president
maturen,5,4,no party,0,lyons,wayne,president
maturen,5,5,no party,0,lyons,wayne,president
mcmullin,5,1,no party,1,lyons,wayne,president
mcmullin,5,2,no party,0,lyons,wayne,president
mcmullin,5,3,no party,0,lyons,wayne,president
mcmullin,5,4,no party,0,lyons,wayne,president
mcmullin,5,5,no party,0,lyons,wayne,president
gyurko,5,1,no party,0,lyons,wayne,president
gyurko,5,2,no party,0,lyons,wayne,president
gyurko,5,3,no party,0,lyons,wayne,president
gyurko,5,4,no party,0,lyons,wayne,president
gyurko,5,5,no party,0,lyons,wayne,president
no party,5,1,no party,2,lyons,wayne,president
no party,5,2,no party,0,lyons,wayne,president
no party,5,3,no party,0,lyons,wayne,president
no party,5,4,no party,0,lyons,wayne,president
no party,5,5,no party,1,lyons,wayne,president
no party,5,1,no party,0,lyons,wayne,president
no party,5,2,no party,0,lyons,wayne,president
no party,5,3,no party,1,lyons,wayne,president
no party,5,4,no party,0,lyons,wayne,president
no party,5,5,no party,0,lyons,wayne,president
undervotes/blank,5,1,no party,6,lyons,wayne,president
undervotes/blank,5,2,no party,1,lyons,wayne,president
undervotes/blank,5,3,no party,3,lyons,wayne,president
undervotes/blank,5,4,no party,1,lyons,wayne,president
undervotes/blank,5,5,no party,0,lyons,wayne,president
clinton,6,1,no party,18,macedon,wayne,president
clinton,6,2,no party,22,macedon,wayne,president
clinton,6,3,no party,33,macedon,wayne,president
clinton,6,4,no party,13,macedon,wayne,president
clinton,6,5,no party,10,macedon,wayne,president
trump,6,1,no party,20,macedon,wayne,president
trump,6,2,no party,28,macedon,wayne,president
trump,6,3,no party,48,macedon,wayne,president
trump,6,4,no party,17,macedon,wayne,president
trump,6,5,no party,14,macedon,wayne,president
trump,6,1,no party,5,macedon,wayne,president
trump,6,2,no party,8,macedon,wayne,president
trump,6,3,no party,2,macedon,wayne,president
trump,6,4,no party,5,macedon,wayne,president
trump,6,5,no party,2,macedon,wayne,president
stein,6,1,no party,2,macedon,wayne,president
stein,6,2,no party,0,macedon,wayne,president
stein,6,3,no party,2,macedon,wayne,president
stein,6,4,no party,0,macedon,wayne,president
stein,6,5,no party,1,macedon,wayne,president
clinton,6,1,no party,0,macedon,wayne,president
